@jorek_model:   199
@n_tor:     3
@n_plane:     4
@n_period:     1
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,01,cos}" "E_{mag,01,sin}" "E_{kin,00,cos}" "E_{kin,01,cos}" "E_{kin,01,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,01,cos}" "G_{mag,01,sin}" "G_{kin,00,cos}" "G_{kin,01,cos}" "G_{kin,01,sin}" 
@times:     1   1.000000000E+03
@energies:  1.000000000E+03  2.012239529E-02  1.187086941E-31  1.185706449E-31  3.360472745E-15  2.686452200E-33  2.686512180E-33
@times:     2   2.000000000E+03
@energies:  2.000000000E+03  2.012239473E-02  1.674206895E-32  1.609587877E-32  3.255174250E-15  4.078428261E-33  4.073937590E-33
@growth_rates:  1.500000000E+03 -1.382658654E-11 -9.793739463E-04 -9.984728400E-04 -1.591792738E-05  2.087451228E-04  2.081831168E-04
@times:     3   3.000000000E+03
@energies:  3.000000000E+03  2.012239423E-02  1.627799051E-31  1.646646084E-31  3.034988789E-15  8.663464970E-33  8.635395978E-33
@growth_rates:  2.500000000E+03 -1.257442328E-11  1.137237181E-03  1.162673733E-03 -3.501903830E-05  3.767015353E-04  3.756297847E-04
@times:     4   4.000000000E+03
@energies:  4.000000000E+03  2.012239377E-02  4.193266735E-32  4.120827811E-32  2.802987550E-15  1.501204498E-32  1.500650874E-32
@growth_rates:  3.500000000E+03 -1.143452732E-11 -6.781669197E-04 -6.926357839E-04 -3.976095012E-05  2.748690615E-04  2.763072277E-04
@times:     5   5.000000000E+03
@energies:  5.000000000E+03  2.012239333E-02  2.012244065E-31  1.987188944E-31  2.470883951E-15  2.635763866E-32  2.632289970E-32
@growth_rates:  4.500000000E+03 -1.073296696E-11  7.841777809E-04  7.866260371E-04 -6.305493439E-05  2.814526237E-04  2.809776240E-04
@times:     6   6.000000000E+03
@energies:  6.000000000E+03  2.012239293E-02  9.468252651E-32  9.364610260E-32  2.168011408E-15  4.683526713E-32  4.690382805E-32
@growth_rates:  5.500000000E+03 -1.010566675E-11 -3.769456332E-04 -3.761842120E-04 -6.538280792E-05  2.874391826E-04  2.888300112E-04
@times:     7   7.000000000E+03
@energies:  7.000000000E+03  2.012239254E-02  3.038852572E-31  3.045541118E-31  1.816333825E-15  8.293813935E-32  8.288080226E-32
@growth_rates:  6.500000000E+03 -9.639397502E-12  5.830603589E-04  5.896629836E-04 -8.849512912E-05  2.857292653E-04  2.846520823E-04
@times:     8   8.000000000E+03
@energies:  8.000000000E+03  2.012239217E-02  3.220742282E-31  3.158433225E-31  1.530243704E-15  1.503736509E-31  1.504328385E-31
@growth_rates:  7.500000000E+03 -9.210448626E-12  2.906592732E-05  1.819874868E-05 -8.569654055E-05  2.975140907E-04  2.980566351E-04
@times:     9   9.000000000E+03
@energies:  9.000000000E+03  2.012239181E-02  7.081449625E-31  7.133419255E-31  1.257158203E-15  2.783921107E-31  2.783689592E-31
@growth_rates:  8.500000000E+03 -8.885480796E-12  3.939333903E-04  4.073572942E-04 -9.828661338E-05  3.079536939E-04  3.077153482E-04
@times:    10   1.000000000E+04
@energies:  1.000000000E+04  2.012239147E-02  1.136322938E-30  1.130896922E-30  1.065712069E-15  5.253777773E-31  5.254027301E-31
@growth_rates:  9.500000000E+03 -8.556179321E-12  2.364520064E-04  2.304027343E-04 -8.260529729E-05  3.175434948E-04  3.176088242E-04
@times:    11   1.100000000E+04
@energies:  1.100000000E+04  2.012239113E-02  2.347343099E-30  2.357248673E-30  9.440735849E-16  1.009935487E-30  1.010138974E-30
@growth_rates:  1.050000000E+04 -8.326694889E-12  3.627432682E-04  3.672420342E-04 -6.059717539E-05  3.267620767E-04  3.268390622E-04
@times:    12   1.200000000E+04
@energies:  1.200000000E+04  2.012239081E-02  4.493954900E-30  4.495355353E-30  8.907116929E-16  1.972782387E-30  1.972577452E-30
@growth_rates:  1.150000000E+04 -8.055334844E-12  3.247245228E-04  3.227747988E-04 -2.909165757E-05  3.347792356E-04  3.346265600E-04
@times:    13   1.300000000E+04
@energies:  1.300000000E+04  2.012239049E-02  8.850278959E-30  8.843350411E-30  9.476838728E-16  3.875567752E-30  3.876025467E-30
@growth_rates:  1.250000000E+04 -7.893701026E-12  3.388579206E-04  3.383105453E-04  3.100009050E-05  3.376236216E-04  3.377346127E-04
@times:    14   1.400000000E+04
@energies:  1.400000000E+04  2.012239018E-02  1.757226398E-29  1.757749824E-29  1.029382591E-15  7.633300637E-30  7.633137513E-30
@growth_rates:  1.350000000E+04 -7.660276635E-12  3.429363846E-04  3.434768823E-04  4.134674818E-05  3.389140849E-04  3.388443519E-04
@times:    15   1.500000000E+04
@energies:  1.500000000E+04  2.012238988E-02  3.477498725E-29  3.478105339E-29  1.240980450E-15  1.512639970E-29  1.512678299E-29
@growth_rates:  1.450000000E+04 -7.547337422E-12  3.412883114E-04  3.412266103E-04  9.347127792E-05  3.419606016E-04  3.419839564E-04
@times:    16   1.600000000E+04
