@jorek_model:   302
@n_tor:     3
@n_plane:     8
@n_period:     8
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature V_parallel 
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,08,cos}" "E_{mag,08,sin}" "E_{kin,00,cos}" "E_{kin,08,cos}" "E_{kin,08,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,08,cos}" "G_{mag,08,sin}" "G_{kin,00,cos}" "G_{kin,08,cos}" "G_{kin,08,sin}" 
@times:     1   1.000000000E-03
@energies:  1.000000000E-03  1.844799332E-01  0.000000000E+00  0.000000000E+00  3.591216895E-13  0.000000000E+00  0.000000000E+00
@times:     2   2.000000000E-03
@energies:  2.000000000E-03  1.844799331E-01  0.000000000E+00  0.000000000E+00  1.435065466E-12  0.000000000E+00  0.000000000E+00
@growth_rates:  1.500000000E-03 -2.078978101E-07  0.000000000E+00  0.000000000E+00  6.926522245E+02  0.000000000E+00  0.000000000E+00
@times:     3   3.000000000E-03
@energies:  3.000000000E-03  1.844799330E-01  0.000000000E+00  0.000000000E+00  3.225790944E-12  0.000000000E+00  0.000000000E+00
@growth_rates:  2.500000000E-03 -2.112384712E-07  0.000000000E+00  0.000000000E+00  4.049838525E+02  0.000000000E+00  0.000000000E+00
@times:     4   4.000000000E-03
@energies:  4.000000000E-03  1.844799329E-01  0.000000000E+00  0.000000000E+00  5.729350207E-12  0.000000000E+00  0.000000000E+00
@growth_rates:  3.500000000E-03 -2.145705835E-07  0.000000000E+00  0.000000000E+00  2.872119741E+02  0.000000000E+00  0.000000000E+00
@times:     5   5.000000000E-03
@energies:  5.000000000E-03  1.844799328E-01  0.000000000E+00  0.000000000E+00  8.943867616E-12  0.000000000E+00  0.000000000E+00
@growth_rates:  4.500000000E-03 -2.179024738E-07  0.000000000E+00  0.000000000E+00  2.226829962E+02  0.000000000E+00  0.000000000E+00
@times:     6   6.000000000E-03
@energies:  6.000000000E-03  1.844799328E-01  0.000000000E+00  0.000000000E+00  1.286752696E-11  0.000000000E+00  0.000000000E+00
@growth_rates:  5.500000000E-03 -2.212403594E-07  0.000000000E+00  0.000000000E+00  1.818693665E+02  0.000000000E+00  0.000000000E+00
@times:     7   7.000000000E-03
@energies:  7.000000000E-03  1.844799327E-01  0.000000000E+00  0.000000000E+00  1.749856174E-11  0.000000000E+00  0.000000000E+00
@growth_rates:  6.500000000E-03 -2.245703623E-07  0.000000000E+00  0.000000000E+00  1.537059218E+02  0.000000000E+00  0.000000000E+00
@times:     8   8.000000000E-03
@energies:  8.000000000E-03  1.844799326E-01  0.000000000E+00  0.000000000E+00  2.283524779E-11  0.000000000E+00  0.000000000E+00
@growth_rates:  7.500000000E-03 -2.278914835E-07  0.000000000E+00  0.000000000E+00  1.330933032E+02  0.000000000E+00  0.000000000E+00
@times:     9   9.000000000E-03
@energies:  9.000000000E-03  1.844799325E-01  0.000000000E+00  0.000000000E+00  2.887589713E-11  0.000000000E+00  0.000000000E+00
@growth_rates:  8.500000000E-03 -2.312334768E-07  0.000000000E+00  0.000000000E+00  1.173509701E+02  0.000000000E+00  0.000000000E+00
@times:    10   1.000000000E-02
@energies:  1.000000000E-02  1.844799324E-01  0.000000000E+00  0.000000000E+00  3.561885306E-11  0.000000000E+00  0.000000000E+00
